Name,Current Price,Old Price,Discount,Date
"HP EliteBook 820 G3 Core I5 8GB-256GB SSD 6th Gen 12.5"" Renewed Windows 10","KSh 18,998","KSh 35,000",46%,2025-07-05
"HP EliteBook 840 G3 Intel Core I7 -8GB Ram-256GB SSD-14""-Silver WIN 10 6th Gen Refurbished","KSh 27,999","KSh 38,000",26%,2025-07-05
"HP Refurbished ProBook 640 G5 Intel® Core™ I5-8265u Laptop 35.6 Cm (14"") Full Hd 8 Gb Ddr4-sdram 256 Gb Ssd Wi-fi 6 (802.11ax) Windows 10 Pro","KSh 32,500","KSh 40,000",19%,2025-07-05
"Western Digital 500GB   Portable External Hard Drive for Windows, USB 3.0 for Plug and Play Ready.","KSh 2,950","KSh 8,000",63%,2025-07-05
"HP Refurbished Elitebook 840  G3 6th Gen  ,  Core I5, 8GB RAM- SSD 256gb + 500gb Hdd -14""  (6 Months WRTY)","KSh 22,999","KSh 46,999",51%,2025-07-05
"Lenovo Thinkpad T460 Core I5 8GB Ram 256GB HDD, 6th Generation 14″ RENEWED","KSh 23,299","KSh 28,000",17%,2025-07-05
"Lenovo Thinkbook 14 G7 IML,  Intel® Core™ Ultra 7 155H, Intel® Arc™ Graphics,8 GB DDR5-5600 , 512 GB SSD PCIe 4.0x4 NVMe®, 1080P FHD with Dual Microphone and Privacy Shutter, 14"" WUXGA, Anti-glare, NO OS, ARCTIC GREY , 1 Year Warranty","KSh 104,000","KSh 109,000",5%,2025-07-05
"HP Refurbished Elitebook 840  Core  I5, Slim Model ,  8GB RAM 500GB  HDD -14"", Black  (6 Months WRTY)","KSh 16,499","KSh 29,999",45%,2025-07-05
Asus Zenbook 14 OLED UX3402Z Intel Core I7 16GB 512GB 14 Inch Touchscreen,"KSh 177,100","KSh 180,500",2%,2025-07-05
"Lenovo IdeaPad 1 14IAU7,Intel® Core™ I5-1235U ,Intel Iris® Xe Graphics ,8GB Soldered DDR4-3200,Up To 16GB  DDR4-3200,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,14"" HD, HD 720p With Privacy Shutter Webcam, NO OS, CLOUD GREY","KSh 68,500","KSh 82,500",17%,2025-07-05
"HP REFURBISHED EliteBook 840 G1 Intel Core I5 14"" Inch 4GB RAM 500GB HDD Win10, 6 Months WRTY","KSh 16,790","KSh 36,000",53%,2025-07-05
"HP Refurbished EliteBook 820 G3 Intel Core I5 8GB-256GB SSD + 500gb HDD 6th Gen Silver-12.6""","KSh 21,499","KSh 29,000",26%,2025-07-05
"Lenovo ThinkPad X250  Core I5, 8GB RAM, 500GB HDD, 12.5'' Refurbished","KSh 24,999",N/A,N/A,2025-07-05
HP EliteBook 745 G6 AMD Ryzen 7 PRO 3700U 16GB RAM 256GB SSD 14 Inch- FHD Display,"KSh 37,199","KSh 56,200",34%,2025-07-05
"HP Refurbished EliteBook 8460p, Intel Core I5, 8GB RAM, 500GB HDD, 14'' + FREE MOUSE","KSh 19,500","KSh 25,000",22%,2025-07-05
"Lenovo ThinkPad X260 Intel  Core I5, 8GB RAM, 256GB SSD, 12.5'' REFURBISHED","KSh 15,999","KSh 26,999",41%,2025-07-05
HP Refurbished EliteBook 840 G3  Intel Core I5 8 GB RAM SDD 256GB,"KSh 29,999",N/A,N/A,2025-07-05
"HP Elitebook 840 G5 (Intel Quad-Core I5-8250U, 8GB DDR4 RAM, 256GB SSD)  Refurbished 14"", 6 Months WRTY","KSh 34,500","KSh 70,000",51%,2025-07-05
"Lenovo REFURBISHED ThinkPad W540 Mobile workstation 39.4 cm (15.5"") Quad HD Intel® Core™ i7-4800MQ 16 GB DDR3-SDRAM 256 GB SSD, 2GB NVIDIA® Quadro® K1100M Windows 11 Pro","KSh 24,999","KSh 30,000",17%,2025-07-05
"HP 8GB RAM 256GB SSD Storage, EliteBook 820 G1 Intel Core I5  Slim Ultrabook Refurbished Laptop, Windows 11 PRO Activated, Office & Basic Software Installed, Free Bag + Charger + Wireless Mouse + Mouse Pad + Free Extension.","KSh 22,100","KSh 35,000",37%,2025-07-05
"HP Elitebook 8GB RAM, 128GB Fast SSD  Refurbished  14'' Inches Screen Display, Intel Core i5 Laptop & Bluetooth,Webcam, Windows 11 PRO Activated, Office & Basic software Installed + Free Bag + Charger + Mouse Pad + Free wireless Mouse + Free Extension","KSh 18,600","KSh 20,000",7%,2025-07-05
"HP Elitebook 840 G5 (Intel Quad-Core I5-8250U, 8GB DDR4 RAM, 256GB SSD)  Refurbished 14"", 6 Months WRTY","KSh 30,000","KSh 39,000",23%,2025-07-05
"HP Refurbished EliteBook Intel Core I5, 8GB RAM, 500GB HDD, 14'' Windows 11 PRO Activated, Office & Basic Software Installed, Free Bag + Free Wireless Mouse + Charger + Mouse Pad","KSh 19,500","KSh 26,000",25%,2025-07-05
"HP Refurbished ProBook 11 G2, Core I3 6th Gen, 500GB HDD, 8GB RAM,12"" TouchScreen","KSh 24,500",N/A,N/A,2025-07-05
"Lenovo Refurbished Thinkpad T460 Core I5 8GB Ram 500GB HDD, 6th Generation 14″","KSh 27,000",N/A,N/A,2025-07-05
HP  Refurbrished Elitebook 840 G1 has a 14.0-inch display. An Intel Core i5 4th gen 8GB DDR3 RAM 500gb hdd.windows 10 pro installed and activated,"KSh 17,000","KSh 20,000",15%,2025-07-05
Lenovo Brand New IdeaPad Flex 5 14IAU7 Convertible Intel Core i7 12th Gen 16GB RAM 1TB SSD 14 Inches FHD Multi-Touch Display Windows 11 Home,"KSh 105,000",N/A,N/A,2025-07-05
"HP Refurbished Elitebook 840   Touchscreen Core  I5, 8GB RAM 500GB   -14"", Black  (6 Months WRTY)","KSh 19,999","KSh 29,999",33%,2025-07-05
"Lenovo  E14 Gen 6,  Intel® Core™ Ultra 7 155H Processor, Intel® Arc™ Graphics, 16 GB DDR5-5600, 512 GB SSD PCIe, 1080P FHD RGB with Microphone and Privacy Shutter,14"" WUXGA, Ultraslim Notebook, NO OS, CLOUD GREY , 1 Year Warranty","KSh 136,000","KSh 140,000",3%,2025-07-05
"HP EliteBook 820 G4 Intel Core I5 7th Gen Refurbished 8GB-256GB SSD Silver-12.6"", 6 Months WRTY","KSh 23,000","KSh 49,900",54%,2025-07-05
"DELL Latitude 5440  INTEL CORE I5- 13TH GEN, 8GB DDR4 3200, 512GB NVMe SSD, 14.0 Inch FHD (1920x1080) Non-Touch, AG, IPS, 250 Nits, FHD Cam, WLAN/WWAN(4G) , Backlit Keyboard,Ubuntu 22.04 LTS, Finger Print Reader,  FHD Camera,","KSh 151,000","KSh 155,000",3%,2025-07-05
"Lenovo  REFURBRISDED  X240 8GB RAM, 500GB HDD, Intel Core I5, 12.5'' Screen Display, Windows 10 PRO Activated, Office & Basic software Installed +Charger","KSh 15,000","KSh 18,000",17%,2025-07-05
"HP  Refurbished EliteBook 850 G3 Core I5 8GB 256GB SSD 15.6"" Ultra Slim Laptop + Bag - Silver. WINDOWS 11 PRO INSTALLED AND ACTIVATED","KSh 24,500","KSh 25,000",2%,2025-07-05
DELL Chromebook X360 Celeron 4GB RAM/32 GB SSD/touchscreen/Chrome OS/ Refurbished...Special Offer!!!,"KSh 15,999","KSh 30,000",47%,2025-07-05
"HP Chromebook 11 G6 EE, Intel Celeron Dual N3350 , Storage 4GB RAM/16GB SSD, TYPE C, WIFI, Bluetooth, Camera , Chrome OS,  Black Refurb  (6 Months WRTY)","KSh 8,599","KSh 16,799",49%,2025-07-05
"Lenovo ThinkPad X260 Intel Core I5, 8GB RAM, 256GB SSD, 12.5'' REFURBISHED","KSh 15,245","KSh 28,000",46%,2025-07-05
"HP 8GB RAM, 500GB Hard Disk  Elitebook Refurbished Laptop  14'' Inches Screen Display,  & Intel Core I5 Laptop,Webcam, Windows 11 PRO Activated, Office & Basic Software Installed + Free Bag + Charger +Mouse Pad + Free Wireless Mouse+  Extension","KSh 17,499","KSh 25,000",30%,2025-07-05
Lenovo Refurbished Thinkpad X250 Intel Core I5 8 GB RAM 500 GB HDD 12.5'' Black  (6 Months WRTY),"KSh 14,499","KSh 37,500",61%,2025-07-05
"Asus Chromebook Laptop , Intel Celeron Processor, Storage 16GB EMMC SSD / 4GB RAM ,HDMI ,Playstore ,WebCam, Chrome OS, Refurb.","KSh 7,799","KSh 16,999",54%,2025-07-05
"X Tigi HeroBook 10.1""- Quad Core - 4Gb RAM -128Gb ROM -Android Notebook- 4000mAh-13 Months Warranty","KSh 8,928","KSh 18,938",53%,2025-07-05
"HP Refurbished EliteBook 820 G3 Core I7 16GB RAM 256GB SSD 6th Gen 12.5"" Ultraslim Laptop","KSh 25,499","KSh 33,000",23%,2025-07-05
"HP Refurbished Elitebook 840  G3 6th Gen  ,  Core I5, 8GB RAM- SSD 256GB  -14"", Sliver  (6 Months WRTY)","KSh 19,499","KSh 46,999",59%,2025-07-05
"Apple MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2012) Silver Refurbished","KSh 21,995","KSh 34,000",35%,2025-07-05
HP EliteBook 820 G1 Intel Core I5 6th Gen 8GB RAM 500GB HDD 12.5 Inches,"KSh 15,199","KSh 21,000",28%,2025-07-05
"HP EliteBook 830 G5 Core I5 8250U 8GB 256GB -Refurbished-13.3""'.Silver","KSh 25,999","KSh 45,999",43%,2025-07-05
"HP EliteBook 840 G2 Refurbished Intel Core I5 -8GB Ram -256GB SSD-Black-14""","KSh 17,499","KSh 30,000",42%,2025-07-05
"DELL Chromebook 3180 Laptop Computer, 11.6 Inch Laptop PC, Intel Celeron N3060, 4GB RAM, 16GB SSD, Web Camera, Wi-Fi, Bluetooth, HDMI, Chrome OS, Refurb","KSh 8,543","KSh 15,798",46%,2025-07-05
"Lenovo Refurbished Thinkpad X240-Core I5,8GB Ram,500GB HDD Storage 12.5''","KSh 14,249","KSh 30,000",53%,2025-07-05
"HP EliteBook 820 G2 Core I5 5th Gen 8GB Ram 500GB HDD 12.5"" 2.3GHz Win 10 Renewed","KSh 15,479","KSh 27,000",43%,2025-07-05
HP ProBook X360 11 G2-X360 -Pentium-4GB RAM-256GB SSD-Refurbished- HD Screen-Grey-12'',"KSh 14,999","KSh 22,000",32%,2025-07-05
"DELL Renewed Latitude 7280, Core I5 -7300U 7th Gen 2.60GHz, 8GB RAM, 256GB SSD, - 12.5""","KSh 17,998","KSh 30,000",40%,2025-07-05
"HP Refurbished Elitebook 840  G3 6th Gen  ,  Core I5, 8GB RAM- SSD 256gb + 500gb Hdd -14""  (6 Months WRTY)","KSh 22,999","KSh 46,999",51%,2025-07-05
